code,year,anu_ret_std
600252,2007,0.6991493964288303
600252,2008,0.7784881079127887
600252,2009,0.4667906196025949
600252,2010,0.7229546981689337
600252,2011,0.6465547600135649
600252,2012,0.5441164779468843
600252,2013,0.3796065812100503
600252,2014,0.24271742929546736
600252,2015,1.0228495570572018
600252,2016,0.31155481610177954
600252,2017,0.21000810446398233
600253,2002,
600253,2003,0.3828119131044118
600253,2004,0.31714735888702433
600253,2005,0.370758088687401
600253,2006,0.5311243944674872
600253,2007,0.5907888104461935
600253,2008,0.7055906805315441
600253,2009,0.4990822882423863
600253,2010,0.43669176872570714
600253,2011,0.444175099953589
600253,2012,0.29757455817580064
600253,2013,0.23442358079349052
600255,2002,
600255,2003,0.29664565066559273
600255,2004,0.3248617234414413
600255,2005,0.4712762762168759
600255,2006,0.5196693809224504
600255,2007,0.6556248100759395
600255,2008,0.8636495248267204
600255,2009,0.6110770553642063
600255,2010,0.47815551624018027
600255,2011,0.5310324146516014
600255,2012,0.39517645063056955
600255,2013,0.379055322851493
600255,2014,0.7180252772083144
600255,2015,0.8168488848080157
600255,2016,0.4008254802522222
600255,2017,0.5260582120038101
600256,2002,
600256,2003,0.20878017143731462
600256,2004,0.3983371914396565
600256,2005,0.31986098207917907
600256,2006,0.5225138377112869
600256,2007,0.6982368913339781
600256,2008,0.6471943214694076
600256,2009,0.6070007440820402
600256,2010,0.5792847990074478
600256,2011,0.535524756239851
600256,2012,0.5807585332010844
600256,2013,0.5762839375102652
600256,2014,0.3835468589545913
600256,2015,0.45655316651331757
600256,2016,0.35532432619304966
600256,2017,0.25400325601015444
600257,2002,
600257,2003,0.2547485614616715
600257,2004,0.6386129455131023
600257,2005,0.5144439331676539
600257,2006,0.6179556955910186
600257,2007,0.5795052418470952
600257,2008,0.8634989347914621
600257,2009,0.4132549423813773
600257,2010,0.4692788611581692
600257,2011,0.38207261615988153
600257,2012,0.45586025093169635
600257,2013,0.3880989413085813
600257,2014,0.23899610036289876
600257,2015,0.869069071000192
600257,2016,0.505252583443844
600257,2017,0.26211502195323116
600258,2002,
600258,2003,0.34829601530782844
600258,2004,0.32874065436087774
600258,2005,0.29524458885406185
600258,2006,0.47245233983073553
600258,2007,0.7137641845565458
600258,2008,0.8725099569231499
600258,2009,0.6963974582190188
600258,2010,0.3815306353281801
600258,2011,0.3488153917281343
600258,2012,0.2978719521681596
600258,2013,0.3488163020389552
600258,2014,0.3278507599539988
600258,2015,0.9332460150243449
600258,2016,0.43775185188021165
600258,2017,0.35470757702124506
600259,2002,
600259,2003,0.3724329149577698
600259,2004,0.4685847016647704
600259,2005,0.5035219762575436
600259,2006,0.5408516011923649
600259,2007,0.6525140772537777
600259,2009,0.5667645191400517
600259,2010,0.9538129720735068
600259,2011,0.5151008369942675
600259,2012,0.6439853326297269
600259,2013,0.3871035025356812
600259,2014,0.33750786934845717
600259,2015,0.616821989714235
600259,2016,0.6158406138899616
600259,2017,0.48830049811141824
600260,2002,
600260,2003,0.34894512982562365
600260,2004,0.5806085205074986
600260,2005,0.40718282361040486
600260,2006,0.5123700524890551
600260,2007,0.5488889819502772
600260,2008,0.5403612625614421
600260,2009,0.6981615164624657
600260,2010,0.38269905630736206
600260,2011,0.39013241875346194
600260,2012,0.5516987943612743
600260,2013,0.41033095139307074
600260,2014,0.7708992774077371
600260,2015,0.8493369615787454
600260,2016,0.5235008289180613
600260,2017,0.43475953217216295
600261,2002,
600261,2003,0.2421234179060855
600261,2004,0.2491407849551075
600261,2005,0.41609603451892435
600261,2006,0.4822756104497758
600261,2007,0.6125692552016174
600261,2008,0.6654679498799809
600261,2009,0.4862419956898439
600261,2010,0.46386646228438205
600261,2011,0.518349355819084
600261,2012,0.4843589805638585
600261,2013,0.5109116284451635
600261,2014,0.5254065237821872
600261,2015,0.5894388713800974
600261,2016,0.2324621503657915
600261,2017,0.16942906492739712
600262,2002,
600262,2003,0.30253514387352654
600262,2004,0.35187421014456516
600262,2005,0.3284568763206371
600262,2006,0.66698906012594
600262,2007,0.6493615819537892
600262,2008,0.6691885721126196
600262,2009,0.5470577414177679
600262,2010,0.5726718043304836
600262,2011,0.40184879889915787
600262,2012,0.4603730762736425
600262,2013,0.3069551262723961
600262,2014,0.5158212068084576
600262,2015,0.7945462657706052
600262,2016,0.3228149063605323
600262,2017,0.3786928599997404
600263,2002,
600263,2003,0.29099453722159613
600263,2004,0.3747924358824227
